core,group_bitmask,groups,n_edges,2Dratio,edges
1,1,grp1,7,0.61,0 3 4 7 8 9 14
4,2,grp2,7,0.42,3 5 9 10 11 20 24
8,1,grp1,7,0.59,1 7 9 10 12 14 16
10,2,grp2,7,0.49,4 6 9 11 18 20 24
15,1,grp1,7,0.72,7 12 13 16 17 18 19
16,1,grp1,5,0.68,14 15 17 18 19
19,2,grp2,5,0.68,16 17 18 20 23
20,2,grp2,7,0.67,10 11 18 19 23 24 25
26,0,none,5,0.46,27 28 29 30 34
27,8,grp4,4,0.48,26 28 30 35
28,4,grp3,4,0.56,26 27 32 36
29,4,grp3,5,0.51,26 30 32 45 46
34,8,grp4,5,0.56,26 35 36 38 39
38,0,none,6,0.6,26 34 39 40 42 43
39,0,none,5,0.34,34 38 45 46 47
40,8,grp4,5,0.87,38 39 42 43 44
42,0,none,6,0.59,39 40 43 44 46 49
46,0,none,5,0.5,29 38 39 45 47
47,4,grp3,5,0.9,45 46 48 49 50
49,0,none,6,0.47,42 44 46 47 48 50
